id;course_id;grade
3;9;13.2
3;9;12.4
3;9;10.9
3;9;15.7
3;9;13.3
3;9;12.1
3;9;11.9
3;9;12.6
3;7;10
3;7;9
3;7;9.5
3;7;12.5
3;7;11
3;7;9.5
3;7;12
3;7;13.5
3;7;13
3;7;12
3;3;9.75
3;3;5.25
3;3;7.5
3;3;8.5
3;3;5
3;3;9.5
3;3;4.5
3;3;8.5
3;3;2
3;1;9
3;1;7
3;1;7
3;1;6
3;1;8
3;2;12.5
3;2;11.5
3;2;13.5
3;2;13.5
3;2;13.5
3;2;12
3;2;13.5
3;5;14
3;5;16.5
3;5;14
3;5;14.5
3;5;16
3;5;12.5
3;5;15.5
3;8;11.75
3;8;14
3;8;9.5
3;8;13
3;8;13
3;8;11.25
3;8;10
3;8;8
3;6;10
3;6;8.5
3;6;8.5
3;6;8
3;6;7
3;6;6.5
3;6;11.5
3;10;12.5
3;10;8
3;10;8
3;10;4
3;10;10
3;10;9
3;10;7.5
3;10;$
3;4;13
3;4;13
3;4;12.5
3;4;12
3;4;14
24;9;10.4
24;9;11.7
24;9;15.2
24;9;11.9
24;9;12.3
24;9;14
24;9;15.1
24;9;11.3
24;7;11.5
24;7;10
24;7;12.5
24;7;10
24;7;13.5
24;7;10.5
24;7;10
24;7;9
24;7;9.5
24;3;6
24;3;8.5
24;3;6.5
24;3;7.5
24;3;7.5
24;3;6.25
24;3;6
24;3;4.5
24;3;8.5
24;1;9
24;1;9
24;1;9
24;1;9
24;1;7
24;2;12
24;2;12
24;2;12
24;2;14.5
24;2;14.5
24;2;12
24;2;11.5
24;5;18.5
24;5;13.5
24;5;14
24;5;19
24;5;15.5
24;5;12.5
24;5;15.5
24;5;18.5
24;8;6.75
24;8;9
24;8;10.5
24;8;10
24;8;10.75
24;8;13.25
24;8;11.75
24;8;12
24;6;9.5
24;6;13
24;6;12.5
24;6;14.5
24;6;10
24;6;7.5
24;6;11
24;10;9.5
24;10;11.5
24;10;$
24;10;9.5
24;10;11.5
24;10;10.5
24;10;12.5
24;10;8
24;4;11.5
24;4;10.5
24;4;12
24;4;11.5
24;4;12
25;9;11.3
25;9;13.6
25;9;10.9
25;9;13.4
25;9;11.5
25;9;10.4
25;9;13.9
25;9;14.6
25;7;8
25;7;12.5
25;7;6.5
25;7;9.5
25;7;11
25;7;9
25;7;11.5
25;7;9
25;7;12
25;7;9
25;3;7.75
25;3;5.75
25;3;5.5
25;3;5.25
25;3;6.75
25;3;3.5
25;3;6.5
25;3;7.5
25;3;5.25
25;1;9
25;1;10
25;1;7
25;1;7
25;1;10
25;2;10.5
25;2;11.5
25;2;13
25;2;11.5
25;2;13
25;2;14.5
25;2;13
25;5;16
25;5;16.5
25;5;15.5
25;5;15
25;5;14
25;5;16
25;5;13.5
25;5;17
